BpS_Name,Model_Code
Southern Rocky Mountain Montane-Subalpine Grassland,11460_26
Southern Rocky Mountain Montane-Subalpine Grassland,11460_27
Western Great Plains Foothill and Piedmont Grassland,11470_27_33
Western Great Plains Foothill and Piedmont Grassland,11470_28
Western Great Plains Sand Prairie,11480_20_29_30
Western Great Plains Sand Prairie,11480_31_38
Western Great Plains Sand Prairie,11480_32
Western Great Plains Sand Prairie,11480_34_35
Western Great Plains Shortgrass Prairie,11490_25
Western Great Plains Shortgrass Prairie,11490_26
Western Great Plains Shortgrass Prairie,11490_27_38
Western Great Plains Shortgrass Prairie,11490_28
Western Great Plains Shortgrass Prairie,11490_29
Western Great Plains Shortgrass Prairie,11490_31_33
Western Great Plains Shortgrass Prairie,11490_34_35
Western Great Plains Tallgrass Prairie,11500_31_39_40
Western Great Plains Tallgrass Prairie,11500_38
California Central Valley Riparian Woodland and Shrubland,11510_4_5
California Montane Riparian Systems,11520_2_3_7
California Montane Riparian Systems,11520_4_5
California Montane Riparian Systems,11520_6
Inter-Mountain Basins Greasewood Flat,11530_16_23_24_25_27
Inter-Mountain Basins Greasewood Flat,11530_20_22_29_30
Inter-Mountain Basins Greasewood Flat,11530_28
Inter-Mountain Basins Greasewood Flat,11530_6_10_12_13_17_18_19_21
